game_id,team_name,team_KD_win,team_KD_loss
163433,LEVIATÁN,,0.94
163434,KRÜ Esports,,1.01
163434,LEVIATÁN,0.99,
163435,Cloud9,1.16,
163435,MIBR,,0.86
163436,Cloud9,1.26,
163436,MIBR,,0.79
163438,G2 Esports,,0.88
163438,LOUD,1.13,
163439,G2 Esports,,0.62
163439,LOUD,1.62,
163448,LOUD,,0.88
163448,Paper Rex,1.14,
164091,GIANTX,,0.64
164091,Karmine Corp,1.53,
164092,GIANTX,,0.90
164092,Karmine Corp,1.11,
164094,KOI,,0.83
164094,Team Liquid,1.21,
164095,KOI,,0.82
164095,Team Liquid,1.22,
164097,Natus Vincere,0.99,
164097,Team Vitality,,1.01
164098,Natus Vincere,1.47,
164098,Team Vitality,,0.68
164100,FNATIC,,0.68
164100,Team Heretics,1.46,
164101,FNATIC,,1.04
164101,Team Heretics,0.96,
164103,FUT Esports,1.31,
164103,Team Liquid,,0.76
164104,FUT Esports,1.11,
164104,Team Liquid,,0.90
164106,BBL Esports,,0.83
164106,Gentle Mates,1.21,
164107,BBL Esports,,0.93
164107,Gentle Mates,1.07,
164109,FUT Esports,,0.95
164109,Karmine Corp,1.05,
164110,FUT Esports,1.37,
164110,Karmine Corp,,0.73
164111,FUT Esports,1.28,
164111,Karmine Corp,,0.78
164112,Team Heretics,,0.96
164112,Team Vitality,1.04,
164113,Team Heretics,1.07,
164113,Team Vitality,,0.93
164114,Team Heretics,,0.81
164114,Team Vitality,1.23,
164115,Natus Vincere,,0.86
164115,Team Liquid,1.16,
164116,Natus Vincere,1.05,
164116,Team Liquid,,0.95
164117,Natus Vincere,1.35,
164117,Team Liquid,,0.74
164118,BBL Esports,1.47,
164118,KOI,,0.68
164119,BBL Esports,1.45,
164119,KOI,,0.69
164121,FNATIC,1.45,
164121,GIANTX,,0.69
164122,FNATIC,,0.61
164122,GIANTX,1.63,
164123,FNATIC,1.49,
164123,GIANTX,,0.67
164124,Gentle Mates,,0.70
164124,Karmine Corp,1.44,
164125,Gentle Mates,,0.71
164125,Karmine Corp,1.41,
164127,FNATIC,1.50,
164127,Gentle Mates,,0.65
164128,FNATIC,1.78,
164128,Gentle Mates,,0.56
164130,Karmine Corp,1.19,
164130,Natus Vincere,,0.84
164131,Karmine Corp,,0.88
164131,Natus Vincere,1.13,
164132,Karmine Corp,,0.84
164132,Natus Vincere,1.19,
164133,BBL Esports,1.34,
164133,Team Heretics,,0.74
164134,BBL Esports,1.18,
164134,Team Heretics,,0.85
164136,FUT Esports,1.27,
164136,Team Vitality,,0.79
164137,FUT Esports,,0.90
164137,Team Vitality,1.11,
164138,FUT Esports,,0.83
164138,Team Vitality,1.20,
