game_id,team_name,team_KD,win
168978,G2 Esports,1.42,1
168979,G2 Esports,1.29,1
168981,100 Thieves,1.52,1
168982,LEVIATÁN,1.11,1
168983,100 Thieves,1.19,1
168984,100 Thieves,1.65,1
168985,G2 Esports,0.99,1
168986,100 Thieves,1.04,1
168987,100 Thieves,1.03,1
168988,100 Thieves,1.47,1
168989,100 Thieves,1.21,1
168992,KRÜ Esports,1.28,1
168993,LEVIATÁN,1.04,1
168994,LEVIATÁN,1.37,1
168995,LEVIATÁN,1.11,1
168996,G2 Esports,1.06,1
168997,LEVIATÁN,0.99,1
168998,G2 Esports,1.04,1
168999,G2 Esports,0.93,1
169325,Talon Esports,1.12,1
169368,FNATIC,1.0,1
169369,Team Heretics,1.06,1
169370,FNATIC,1.23,1
169371,Team Heretics,1.01,1
169372,Team Heretics,1.03,1
169373,Team Heretics,1.17,1
169374,FUT Esports,1.51,1
169375,FUT Esports,0.85,1
169376,Team Liquid,0.97,1
169377,FNATIC,1.25,1
169378,Team Heretics,1.1,1
169380,FNATIC,1.26,1
169382,Team Heretics,1.1,1
169384,Team Heretics,1.6,1
169386,Team Heretics,1.07,1
169387,FNATIC,1.26,1
169388,FNATIC,1.63,1
169389,FNATIC,1.32,1
169390,FUT Esports,1.05,1
169392,FNATIC,1.33,1
169393,FNATIC,0.99,1
169394,FNATIC,1.08,1
173346,FUT Esports,1.29,1
173347,KOI,1.15,1
173348,FUT Esports,1.2,1
173349,FNATIC,1.12,1
173350,BBL Esports,1.11,1
173351,FNATIC,1.12,1
173352,Team Heretics,1.64,1
173353,Team Heretics,1.53,1
173355,Team Vitality,1.24,1
173356,Team Vitality,1.04,1
173358,Gentle Mates,2.24,1
173359,GIANTX,1.03,1
173360,GIANTX,1.1,1
173361,FUT Esports,0.91,1
173362,FUT Esports,1.4,1
173364,Karmine Corp,1.3,1
173365,Karmine Corp,1.49,1
173367,FNATIC,1.35,1
173368,Team Vitality,1.52,1
173369,FNATIC,1.46,1
173370,Team Heretics,1.07,1
173371,Team Heretics,1.41,1
173373,BBL Esports,1.21,1
173374,BBL Esports,1.33,1
173376,GIANTX,1.35,1
173377,GIANTX,1.19,1
173379,Gentle Mates,1.07,1
173380,Gentle Mates,0.99,1
173382,FNATIC,1.61,1
173383,FNATIC,1.17,1
173385,Team Heretics,1.14,1
173386,GIANTX,1.1,1
173387,Team Heretics,0.99,1
173388,FUT Esports,1.22,1
173389,FUT Esports,1.52,1
173391,KOI,0.94,1
173392,KOI,1.37,1
173394,Team Liquid,1.16,1
173395,Team Liquid,1.84,1
173397,Team Vitality,1.25,1
173398,BBL Esports,1.23,1
173399,Team Vitality,1.01,1
173400,Team Heretics,1.29,1
173401,Gentle Mates,1.06,1
173402,Team Heretics,1.57,1
173403,FUT Esports,1.69,1
173404,FUT Esports,1.25,1
173406,KOI,1.23,1
173407,Team Heretics,1.07,1
173408,Team Heretics,1.06,1
173409,FNATIC,2.06,1
173410,FNATIC,1.29,1
173412,Natus Vincere,1.09,1
173413,Gentle Mates,1.28,1
173414,Natus Vincere,1.13,1
173415,LEVIATÁN,1.01,1
173416,LEVIATÁN,1.34,1
173418,Sentinels,1.38,1
173419,Sentinels,1.24,1
173421,FURIA,1.09,1
173422,FURIA,1.04,1
173424,LOUD,1.37,1
173425,Evil Geniuses,1.18,1
173426,Evil Geniuses,0.9,1
173427,G2 Esports,1.04,1
173428,Cloud9,1.25,1
173429,G2 Esports,1.21,1
173430,Evil Geniuses,1.73,1
173431,Evil Geniuses,1.53,1
173433,Sentinels,1.1,1
173434,Sentinels,1.03,1
173436,LOUD,1.48,1
173437,MIBR,1.18,1
173438,LOUD,1.11,1
173439,LEVIATÁN,1.18,1
173440,LEVIATÁN,1.46,1
173442,G2 Esports,1.42,1
173443,G2 Esports,1.13,1
173445,Sentinels,1.48,1
173446,Sentinels,1.16,1
173448,LEVIATÁN,1.88,1
173449,LEVIATÁN,1.1,1
173451,LOUD,1.13,1
173452,FURIA,1.07,1
173453,FURIA,1.33,1
173454,100 Thieves,1.55,1
173455,100 Thieves,1.42,1
173457,KRÜ Esports,0.96,1
173458,NRG Esports,1.25,1
173459,NRG Esports,1.17,1
173460,KRÜ Esports,1.69,1
173461,G2 Esports,0.98,1
173462,G2 Esports,1.24,1
173463,LEVIATÁN,1.28,1
173464,LEVIATÁN,1.42,1
173466,FURIA,1.18,1
173467,FURIA,1.31,1
173469,NRG Esports,1.56,1
173470,Cloud9,1.13,1
173471,Cloud9,0.99,1
173472,100 Thieves,1.12,1
173473,Evil Geniuses,1.05,1
173474,100 Thieves,1.35,1
173475,KRÜ Esports,1.57,1
173476,KRÜ Esports,1.14,1
173478,MIBR,1.0,1
173479,MIBR,1.97,1
173481,LEVIATÁN,1.34,1
173482,LEVIATÁN,1.46,1
173484,100 Thieves,2.56,1
173485,LOUD,1.15,1
173486,LOUD,1.18,1
173487,G2 Esports,1.56,1
173488,G2 Esports,1.05,1
173490,KOI,1.7,1
173491,KOI,1.48,1
173493,Team Vitality,1.41,1
173494,Karmine Corp,1.18,1
173495,Team Vitality,1.02,1
176169,Gen.G,1.27,1
176170,Gen.G,1.05,1
176172,Talon Esports,0.95,1
176173,Talon Esports,1.05,1
176175,Gen.G,1.19,1
176176,Gen.G,1.79,1
176178,DRX,1.03,1
176179,DRX,1.5,1
176181,Gen.G,1.28,1
176182,DRX,1.17,1
176183,Gen.G,1.74,1
176184,DRX,1.16,1
176185,Gen.G,1.21,1
176186,Gen.G,1.1,1
176187,Gen.G,1.6,1
176189,Paper Rex,1.95,1
176190,Paper Rex,1.47,1
176192,Paper Rex,1.23,1
176193,Paper Rex,1.24,1
176194,DRX,1.11,1
176195,DRX,1.05,1
176196,DRX,1.21,1
178343,DRX,1.65,1
178819,KRÜ Esports,1.24,1
